File Number	All Scores Equal	RMSE
0	0.0	74.70743441971327
1	0.39215686274509803	74.35479933742974
2	0.7843137254901961	74.00256201952172
3	1.1764705882352942	73.65072817295719
4	1.5686274509803921	73.29930360767779
5	1.9607843137254901	72.94829423875646
6	2.3529411764705883	72.59770608860774
7	2.7450980392156863	72.24754528924532
8	3.1372549019607843	71.89781808459296
9	3.5294117647058822	71.54853083284713
10	3.9215686274509802	71.1996900088938
11	4.313725490196078	70.85130220677824
12	4.705882352941177	70.50337414223426
13	5.098039215686274	70.15591265526741
14	5.490196078431373	69.80892471279843
15	5.88235294117647	69.46241741136578
16	6.2745098039215685	69.11639797988941
17	6.666666666666667	68.77087378249674
18	7.0588235294117645	68.42585232141228
19	7.450980392156863	68.08134123991213
20	7.8431372549019605	67.7373483253439
21	8.235294117647058	67.39388151221587
22	8.627450980392156	67.05094888535278
23	9.019607843137255	66.708558683124
24	9.411764705882353	66.3667193007416
25	9.803921568627452	66.02543929363152
26	10.196078431372548	65.68472738088082
27	10.588235294117647	65.34459244875747
28	10.980392156862745	65.00504355431056
29	11.372549019607844	64.6660899290456
30	11.76470588235294	64.32774098268169
31	12.156862745098039	63.99000630698961
32	12.549019607843137	63.65289567971075
33	12.941176470588237	63.31641906856162
34	13.333333333333334	62.98058663532188
35	13.725490196078432	62.64540874000943
36	14.117647058823529	62.31089594514276
37	14.50980392156863	61.977059020092135
38	14.901960784313726	61.64390894551977
39	15.294117647058824	61.31145691791274
40	15.686274509803921	60.979714354206706
41	16.07843137254902	60.648692896501686
42	16.470588235294116	60.318404416875275
43	16.862745098039216	59.988861022287
44	17.254901960784313	59.660075059580436
45	17.647058823529413	59.33205912058263
46	18.03921568627451	59.0048260472975
47	18.43137254901961	58.6783889372003
48	18.823529411764707	58.35276114862835
49	19.215686274509807	58.02795630626998
50	19.607843137254903	57.703988306753054
51	20.0	57.38087132433067
52	20.392156862745097	57.058619816666486
53	20.784313725490197	56.737248530717466
54	21.176470588235293	56.41677250871308
55	21.568627450980394	56.097207094233944
56	21.96078431372549	55.77856793838357
57	22.35294117647059	55.46087100605554
58	22.745098039215687	55.1441325822958
59	23.137254901960784	54.82836927875292
60	23.52941176470588	54.513598040220735
61	23.92156862745098	54.19983615126735
62	24.313725490196077	53.887101242947566
63	24.705882352941178	53.57541129959848
64	25.098039215686274	53.264784665711346
65	25.49019607843137	52.95524005287909
66	25.882352941176475	52.6467965468128
67	26.27450980392157	52.33947361442362
68	26.666666666666668	52.033291110964626
69	27.058823529411764	51.72826928722639
70	27.450980392156865	51.42442879678154
71	27.84313725490196	51.121790703267415
72	28.235294117647058	50.8203764877052
73	28.627450980392155	50.5202080558416
74	29.01960784313726	50.221307745507175
75	29.411764705882355	49.92369833398122
76	29.80392156862745	49.62740304535149
77	30.19607843137255	49.3324455578594
78	30.58823529411765	49.03885001121624
79	30.980392156862745	48.746641013878694
80	31.372549019607842	48.45584365026937
81	31.76470588235294	48.16648348792702
82	32.15686274509804	47.87858658456965
83	32.549019607843135	47.59217949505476
84	32.94117647058823	47.30728927821682
85	33.33333333333333	47.02394350356282
86	33.72549019607843	46.74217025780503
87	34.11764705882353	46.46199815120959
88	34.509803921568626	46.18345632373526
89	34.90196078431372	45.90657445094021
90	35.294117647058826	45.63138274962833
91	35.68627450980392	45.35791198320773
92	36.07843137254902	45.08619346673403
93	36.470588235294116	44.816259071603824
94	36.86274509803922	44.54814122987005
95	37.254901960784316	44.28187293814241
96	37.64705882352941	44.017487761037934
97	38.03921568627451	43.75501983414531
98	38.43137254901961	43.49450386646308
99	38.82352941176471	43.23597514227115
100	39.21568627450981	42.979469522394126
101	39.6078431372549	42.72502344481188
102	40.0	42.47267392457214
103	40.3921568627451	42.222458552958926
104	40.78431372549019	41.97441549586652
105	41.17647058823529	41.728583491330376
106	41.568627450980394	41.48500184616401
107	41.96078431372549	41.243710431646576
108	42.35294117647059	41.004749678211624
109	42.745098039215684	40.76816056907743
110	43.13725490196079	40.533984632766554
111	43.529411764705884	40.30226393445705
112	43.92156862745098	40.073041066107095
113	44.31372549019608	39.84635913529834
114	44.70588235294118	39.62226175273727
115	45.09803921568628	39.400793018360616
116	45.490196078431374	39.18199750598416
117	45.88235294117647	38.9659202464435
118	46.27450980392157	38.752606709167864
119	46.666666666666664	38.5421027821353
120	47.05882352941176	38.3344547501582
121	47.45098039215686	38.12970927144815
122	47.84313725490196	37.92791335241617
123	48.23529411764706	37.72911432066247
124	48.627450980392155	37.53335979611797
125	49.01960784313725	37.340697660301714
126	49.411764705882355	37.1511760236642
127	49.80392156862745	36.96484319099026
128	50.19607843137255	36.781747624843796
129	50.588235294117645	36.601937907041304
130	50.98039215686274	36.42546269814715
131	51.37254901960784	36.25237069499464
132	51.76470588235295	36.082710586241944
133	52.156862745098046	35.916531005982364
134	52.54901960784314	35.75388048543641
135	52.94117647058824	35.594807402766705
136	53.333333333333336	35.43935993106012
137	53.72549019607843	35.287585984541494
138	54.11764705882353	35.13953316308536
139	54.509803921568626	34.99524869511206
140	54.90196078431373	34.85477937895898
141	55.294117647058826	34.71817152283605
142	55.68627450980392	34.585470883482536
143	56.07843137254902	34.456722603657084
144	56.470588235294116	34.331971148603074
145	56.86274509803921	34.21126024164641
146	57.25490196078431	34.09463279909023
147	57.647058823529406	33.98213086458725
148	58.03921568627452	33.87379554317855
149	58.43137254901961	33.76966693519785
150	58.82352941176471	33.66978407025087
151	59.21568627450981	33.574184841488524
152	59.6078431372549	33.4829059403982
153	60.0	33.39598279234595
154	60.3921568627451	33.31344949310679
155	60.78431372549019	33.235338746624485
156	61.1764705882353	33.161681804244765
157	61.568627450980394	33.09250840566604
158	61.96078431372549	33.02784672185233
159	62.35294117647059	32.967723300150105
160	62.745098039215684	32.91216301184636
161	63.13725490196078	32.8611890023996
162	63.52941176470588	32.81482264456881
163	63.921568627450974	32.773083494654294
164	64.31372549019608	32.73598925205483
165	64.70588235294117	32.70355572233261
166	65.09803921568627	32.67579678396194
167	65.49019607843137	32.652724358923486
168	65.88235294117646	32.63434838728804
169	66.27450980392156	32.62067680591471
170	66.66666666666666	32.611715531369825
171	67.05882352941175	32.6074684471523
172	67.45098039215686	32.6079373952888
173	67.84313725490196	32.61312217234201
174	68.23529411764706	32.62302052985191
175	68.62745098039215	32.637628179207006
176	69.01960784313725	32.656938800922426
177	69.41176470588235	32.68094405827671
178	69.80392156862744	32.709633615239845
179	70.19607843137254	32.74299515860212
180	70.58823529411765	32.78101442419451
181	70.98039215686275	32.823675227071284
182	71.37254901960785	32.87095949550689
183	71.76470588235294	32.92284730864346
184	72.15686274509804	32.97931693760875
185	72.54901960784314	33.04034488991051
186	72.94117647058823	33.10590595690173
187	73.33333333333333	33.175973264098864
188	73.72549019607844	33.25051832412816
189	74.11764705882354	33.32951109206604
190	74.50980392156863	33.41292002293607
191	74.90196078431373	33.500712131118796
192	75.29411764705883	33.59285305143124
193	75.68627450980392	33.689307101631066
194	76.07843137254902	33.79003734610197
195	76.47058823529412	33.89500566047922
196	76.86274509803923	34.00417279697983
197	77.25490196078432	34.117498450205986
198	77.64705882352942	34.234941323197084
199	78.03921568627452	34.356459193515356
200	78.43137254901961	34.482008979156305
201	78.82352941176471	34.61154680408753
202	79.2156862745098	34.74502806322751
203	79.6078431372549	34.88240748668856
204	80.0	35.0236392031197
205	80.3921568627451	35.168676801995495
206	80.7843137254902	35.31747339471107
207	81.17647058823529	35.46998167435427
208	81.56862745098039	35.62615397403896
209	81.96078431372548	35.78594232369506
210	82.35294117647058	35.949298505224256
211	82.74509803921568	36.11617410594056
212	83.13725490196079	36.28652057022681
213	83.52941176470588	36.46028924935149
214	83.92156862745098	36.6374314493969
215	84.31372549019608	36.817898477264166
216	84.70588235294117	37.001641684727964
217	85.09803921568627	37.18861251052351
218	85.49019607843137	37.37876252045709
219	85.88235294117646	37.57204344554057
220	86.27450980392157	37.76840721815582
221	86.66666666666667	37.967806006264006
222	87.05882352941177	38.1701922456796
223	87.45098039215686	38.375518670436044
224	87.84313725490196	38.58373834127304
225	88.23529411764706	38.79480467228388
226	88.62745098039215	39.008671455760876
227	89.01960784313725	39.225292885284105
228	89.41176470588236	39.444623577100366
229	89.80392156862746	39.666618589841555
230	90.19607843137256	39.89123344263471
231	90.58823529411765	40.11842413165789
232	90.98039215686275	40.34814714519613
233	91.37254901960785	40.580359477254596
234	91.76470588235294	40.81501863978511
235	92.15686274509804	41.05208267358433
236	92.54901960784314	41.291510157919866
237	92.94117647058823	41.5332602189424
238	93.33333333333333	41.77729253694135
239	93.72549019607843	42.02356735249819
240	94.11764705882352	42.27204547159661
241	94.50980392156862	42.52268826974025
242	94.90196078431372	42.775457695134904
243	95.29411764705881	43.03031627098551
244	95.68627450980392	43.28722709696023
245	96.07843137254902	43.54615384987019
246	96.47058823529412	43.80706078361478
247	96.86274509803921	44.06991272843716
248	97.25490196078431	44.33467508953704
249	97.6470588235294	44.60131384508261
250	98.0392156862745	44.869795543665035
251	98.4313725490196	45.14008730123412
252	98.82352941176471	45.41215679755545
253	99.2156862745098	45.68597227222489
254	99.6078431372549	45.9615025202747
255	100.0	46.238716887408756
