File Number	All Scores Equal	RMSE
0	0.0	75.8798227767901
1	0.39215686274509803	75.52682228204516
2	0.7843137254901961	75.17420992486464
3	1.1764705882352942	74.82199118604231
4	1.5686274509803921	74.47017165732721
5	1.9607843137254901	74.11875702350629
6	2.3529411764705883	73.7677530611883
7	2.7450980392156863	73.41716567162035
8	3.1372549019607843	73.06700084996028
9	3.5294117647058822	72.71726469318209
10	3.9215686274509802	72.36796342675294
11	4.313725490196078	72.01910336541432
12	4.705882352941177	71.67069096730573
13	5.098039215686274	71.3227327800941
14	5.490196078431373	70.975235491339
15	5.88235294117647	70.6282058981292
16	6.2745098039215685	70.28165093544497
17	6.666666666666667	69.93557765067021
18	7.0588235294117645	69.58999324075634
19	7.450980392156863	69.24490501819966
20	7.8431372549019605	68.90032043876565
21	8.235294117647058	68.55624710140137
22	8.627450980392156	68.21269273429499
23	9.019607843137255	67.86966522481896
24	9.411764705882353	67.52717260335413
25	9.803921568627452	67.18522304357454
26	10.196078431372548	66.84382488328627
27	10.588235294117647	66.50298661879278
28	10.980392156862745	66.16271689252113
29	11.372549019607844	65.82302452900288
30	11.76470588235294	65.48391851781834
31	12.156862745098039	65.1454080045537
32	12.549019607843137	64.80750233000145
33	12.941176470588237	64.47021099526037
34	13.333333333333334	64.13354370320307
35	13.725490196078432	63.79751032458611
36	14.117647058823529	63.4621209349426
37	14.50980392156863	63.127385794219165
38	14.901960784313726	62.79331536903815
39	15.294117647058824	62.45992032440074
40	15.686274509803921	62.12721153521062
41	16.07843137254902	61.79520007850114
42	16.470588235294116	61.46389726274699
43	16.862745098039216	61.13331460712055
44	17.254901960784313	60.803463854723404
45	17.647058823529413	60.47435698513705
46	18.03921568627451	60.14600620777802
47	18.43137254901961	59.8184239739435
48	18.823529411764707	59.49162297963965
49	19.215686274509807	59.16561616855855
50	19.607843137254903	58.840416743749145
51	20.0	58.516038165144785
52	20.392156862745097	58.19249415831207
53	20.784313725490197	57.869798725441946
54	21.176470588235293	57.54796613576366
55	21.568627450980394	57.227010953653526
56	21.96078431372549	56.90694801688285
57	22.35294117647059	56.587792470869665
58	22.745098039215687	56.26955975436136
59	23.137254901960784	55.952265613292354
60	23.52941176470588	55.63592609997301
61	23.92156862745098	55.320557601103395
62	24.313725490196077	55.00617681071773
63	24.705882352941178	54.69280076629574
